"Indices","Name","Start","End"
"HPID","0-FULL",NA,NA
"HPID","1-EUBL",1994-12-31,2000-03-31
"HPID","1-EUBR",2000-03-31,2002-09-30
"HPID","2-EUBL",2002-09-30,2007-06-30
"HPID","2-EUBR",2007-06-30,2008-12-31
"HPID","3-EUBL",2008-12-31,2018-06-30
"EMNS","0-FULL",NA,NA
"EMNS","1-EUBL",1994-12-31,2000-03-31
"EMNS","1-EUBR",2000-03-31,2002-09-30
"EMNS","2-EUBL",2002-09-30,2007-06-30
"EMNS","2-EUBR",2007-06-30,2008-12-31
"EMNS","3-EUBL",2008-12-31,2018-06-30
"EJ00","0-FULL",NA,NA
"EJ00","1-EUBL",1994-12-31,2000-03-31
"EJ00","1-EUBR",2000-03-31,2002-09-30
"EJ00","2-EUBL",2002-09-30,2007-06-30
"EJ00","2-EUBR",2007-06-30,2008-12-31
"EJ00","3-EUBL",2008-12-31,2018-06-30
"HCNF","0-FULL",NA,NA
"HCNF","1-EUBL",1994-12-31,2000-03-31
"HCNF","1-EUBR",2000-03-31,2002-09-30
"HCNF","2-EUBL",2002-09-30,2007-06-30
"HCNF","2-EUBR",2007-06-30,2008-12-31
"HCNF","3-EUBL",2008-12-31,2018-06-30
"CI00","0-FULL",NA,NA
"CI00","1-EUBL",1994-12-31,2000-03-31
"CI00","1-EUBR",2000-03-31,2002-09-30
"CI00","2-EUBL",2002-09-30,2007-06-30
"CI00","2-EUBR",2007-06-30,2008-12-31
"CI00","3-EUBL",2008-12-31,2018-06-30
"H0NF","0-FULL",NA,NA
"H0NF","1-EUBL",1994-12-31,2000-03-31
"H0NF","1-EUBR",2000-03-31,2002-09-30
"H0NF","2-EUBL",2002-09-30,2007-06-30
"H0NF","2-EUBR",2007-06-30,2008-12-31
"H0NF","3-EUBL",2008-12-31,2018-06-30
