"opinion","bucket","weight"
"OutPerform","C B1",5
"OutPerform","C B2",3
"OutPerform","C B3",3
"OutPerform","C B4",3
"OutPerform","C B5",5
"OutPerform","E B1",1
"OutPerform","E B2",1
"OutPerform","E B3",1
"OutPerform","E B4",2
"OutPerform","E B5",2
"OutPerform","N B1",2
"OutPerform","N B2",2
"OutPerform","N B3",2
"OutPerform","N B4",2
"OutPerform","N B5",3
"Neutral","C B1",2
"Neutral","C B2",1
"Neutral","C B3",1
"Neutral","C B4",2
"Neutral","C B5",3
"Neutral","E B1",1
"Neutral","E B2",1
"Neutral","E B3",1
"Neutral","E B4",1
"Neutral","E B5",1
"Neutral","N B1",2
"Neutral","N B2",1
"Neutral","N B3",1
"Neutral","N B4",1
"Neutral","N B5",1
"UnderPerform","C B1",0
"UnderPerform","C B2",0
"UnderPerform","C B3",0
"UnderPerform","C B4",0
"UnderPerform","C B5",0
"UnderPerform","E B1",0
"UnderPerform","E B2",0
"UnderPerform","E B3",0
"UnderPerform","E B4",0
"UnderPerform","E B5",0
"UnderPerform","N B1",0
"UnderPerform","N B2",0
"UnderPerform","N B3",0
"UnderPerform","N B4",0
"UnderPerform","N B5",0
